Time,normE,es.EX,es.EY,es.EZ,es.tEX,es.tEY,es.tEZ,es.Ex,es.Ey,es.Ez,es.tEx,es.tEy,es.tEz,V
0.0,0.6534479869790104,-0.46780792531004434,0.17815775978554327,-0.4174482758999063,-0.46780792531004267,0,-0.41744827589991473,-0.46780792531004434,0.17815775978554327,-0.4174482758999063,-0.46780792531004267,0,-0.41744827589991473,0.0066500069536169154
0.1,0.6641578221640876,-0.4754751701453809,0.18107771758733082,-0.4242901397453549,-0.4754751701453799,0,-0.4242901397453531,-0.4754751701453809,0.18107771758733082,-0.4242901397453549,-0.4754751701453799,0,-0.4242901397453531,0.006758998750004762
0.2,0.6956873430369896,-0.4980473701978322,0.18967401678576912,-0.44443243511665376,-0.4980473701978343,0,-0.44443243511665287,-0.4980473701978322,0.18967401678576912,-0.44443243511665376,-0.4980473701978343,0,-0.44443243511665287,0.007079867980216052
0.3,0.7284162017908951,-0.5214781809815011,0.19859732519010675,-0.46534090885517454,-0.5214781809814988,0,-0.46534090885517987,-0.5214781809815011,0.19859732519010675,-0.46534090885517454,-0.5214781809814988,0,-0.46534090885517987,0.00741294203331526
0.4,0.7627914354989925,-0.5460876465973857,0.20796948617785338,-0.4873011578074298,-0.5460876465973861,0,-0.4873011578074298,-0.5460876465973857,0.20796948617785338,-0.4873011578074298,-0.5460876465973861,0,-0.4873011578074298,0.007762771530714994
0.5,0.7984623296424483,-0.5716246872697285,0.2176948836392374,-0.5100891307720459,-0.5716246872697262,0,-0.5100891307720543,-0.5716246872697285,0.2176948836392374,-0.5100891307720459,-0.5716246872697262,0,-0.5100891307720543,0.008125787212733033
0.6,0.8381712554832689,-0.6000525913594535,0.22852117055882837,-0.5354567738889111,-0.6000525913594519,0,-0.5354567738889138,-0.6000525913594535,0.22852117055882837,-0.5354567738889111,-0.6000525913594519,0,-0.5354567738889138,0.008529898757305912
0.7,0.8778801813240937,-0.6284804954491918,0.23934745747840624,-0.5608244170057621,-0.6284804954491943,0,-0.5608244170057661,-0.6284804954491918,0.23934745747840624,-0.5608244170057621,-0.6284804954491943,0,-0.5608244170057661,0.008934010301878792
0.8,0.9175891071649247,-0.6569083995389151,0.25017374439799034,-0.5861920601226283,-0.6569083995389176,0,-0.5861920601226389,-0.6569083995389151,0.25017374439799034,-0.5861920601226283,-0.6569083995389176,0,-0.5861920601226389,0.00933812184645167
0.9,0.9619699414922563,-0.6886809438613612,0.26227385934978265,-0.6145442796242211,-0.6886809438613617,0,-0.614544279624222,-0.6886809438613612,0.26227385934978265,-0.6145442796242211,-0.6886809438613617,0,-0.614544279624222,0.009789776255854414
