Time,normE,es.EX,es.EY,es.EZ,es.tEX,es.tEY,es.tEZ,es.Ex,es.Ey,es.Ez,es.tEx,es.tEy,es.tEz,V
0.0,0.04041510274565082,-0.018573912313975427,-0.007739406155796935,-0.03504984883918727,-0.018573912313976315,0,-0.03504984883918949,-0.018573912313975427,-0.007739406155796935,-0.03504984883918727,-0.018573912313976315,0,-0.03504984883918949,0.006982930190269579
0.02,0.036986123502706796,-0.01699802719037269,-0.007082763914235457,-0.032076079229357735,-0.0169980271903718,0,-0.03207607922935907,-0.01699802719037269,-0.007082763914235457,-0.032076079229357735,-0.0169980271903718,0,-0.03207607922935907,0.006390470405473471
0.04,0.03732549683075901,-0.01715399506516402,-0.007147754008109963,-0.03237039974431699,-0.017153995065161354,0,-0.03237039974431877,-0.01715399506516402,-0.007147754008109963,-0.03237039974431699,-0.017153995065161354,0,-0.03237039974431877,0.006449107955423934
0.06,0.03766896175811061,-0.017311842348966877,-0.007213528651796253,-0.03266826899008013,-0.01731184234896954,0,-0.03266826899008146,-0.017311842348966877,-0.007213528651796253,-0.03266826899008013,-0.01731184234896954,0,-0.03266826899008146,0.006508453134979097
0.08,0.03801525275283733,-0.01747098637433986,-0.0072798465727510475,-0.03296858976127037,-0.017470986374342523,0,-0.03296858976127259,-0.01747098637433986,-0.0072798465727510475,-0.03296858976127037,-0.017470986374342523,0,-0.03296858976127259,0.006568288006328852
0.1,0.03836853642397702,-0.017633338990644454,-0.007347508751188059,-0.0332749764614535,-0.01763333899064712,0,-0.03327497646145661,-0.017633338990644454,-0.007347508751188059,-0.0332749764614535,-0.01763333899064712,0,-0.03327497646145661,0.006629334545984981
0.12,0.038721820095127764,-0.01779569160695349,-0.007415170929637505,-0.03358136316163929,-0.017795691606954378,0,-0.0335813631616424,-0.01779569160695349,-0.007415170929637505,-0.03358136316163929,-0.017795691606954378,0,-0.0335813631616424,0.00669038108564111
0.14,0.039075103766281025,-0.017958044223263414,-0.0074828331080780686,-0.033887749861824634,-0.017958044223262526,0,-0.0338877498618273,-0.017958044223263414,-0.0074828331080780686,-0.033887749861824634,-0.017958044223262526,0,-0.0338877498618273,0.006751427625297238
0.16,0.03944055299864211,-0.018125993117337202,-0.007552819614224937,-0.0342046855010234,-0.018125993117339867,0,-0.034204685501024734,-0.018125993117337202,-0.007552819614224937,-0.0342046855010234,-0.018125993117339867,0,-0.034204685501024734,0.006814572542050527
0.18,0.03981477289005199,-0.018297976600807786,-0.007624481824887397,-0.03452922630909461,-0.018297976600808674,0,-0.03452922630909594,-0.018297976600807786,-0.007624481824887397,-0.03452922630909461,-0.018297976600808674,0,-0.03452922630909594,0.006879230266126534
0.2,0.04018899278146951,-0.018469960084290804,-0.00769614403555785,-0.03485376711716626,-0.018469960084289916,0,-0.03485376711716581,-0.018469960084290804,-0.00769614403555785,-0.03485376711716626,-0.018469960084289916,0,-0.03485376711716581,0.0069438879902025425
0.22,0.04056321267288263,-0.01864194356776583,-0.007767806246226527,-0.03517830792523746,-0.018641943567764052,0,-0.035178307925238794,-0.01864194356776583,-0.007767806246226527,-0.03517830792523746,-0.018641943567764052,0,-0.035178307925238794,0.007008545714278551
0.24,0.04093743256429623,-0.018813927051239965,-0.007839468456891652,-0.035502848733310444,-0.018813927051244406,0,-0.035502848733312664,-0.018813927051239965,-0.007839468456891652,-0.035502848733310444,-0.018813927051244406,0,-0.035502848733312664,0.007073203438354559
0.26,0.041311652455701495,-0.018985910534711437,-0.007911130667555888,-0.03582738954137543,-0.0189859105347141,0,-0.03582738954137854,-0.018985910534711437,-0.007911130667555888,-0.03582738954137543,-0.0189859105347141,0,-0.03582738954137854,0.007137861162430569
0.28,0.04168587234711948,-0.01915789401818646,-0.00798279287823167,-0.036151930349450634,-0.019157894018189126,0,-0.03615193034945019,-0.01915789401818646,-0.00798279287823167,-0.036151930349450634,-0.019157894018189126,0,-0.03615193034945019,0.007202518886506576
0.3,0.04206384409736172,-0.019331606328436557,-0.008055168946945912,-0.03647972354946871,-0.01933160632843567,0,-0.03647972354947093,-0.019331606328436557,-0.008055168946945912,-0.03647972354946871,-0.01933160632843567,0,-0.03647972354947093,0.0072678217615745
0.32,0.04246045187904614,-0.01951390597403968,-0.008131090852994127,-0.036823671855879425,-0.019513905974038792,0,-0.03682367185587809,-0.01951390597403968,-0.008131090852994127,-0.036823671855879425,-0.019513905974038792,0,-0.03682367185587809,0.0073363291959543785
0.34,0.04285705966076154,-0.019696205619647245,-0.008207012759027243,-0.03716762016228392,-0.01969620561964458,0,-0.03716762016228614,-0.019696205619647245,-0.008207012759027243,-0.03716762016228392,-0.01969620561964458,0,-0.03716762016228614,0.007404836630334256
0.36,0.043253667442514826,-0.019878505265251256,-0.008282934665073682,-0.037511568468689305,-0.01987850526524859,0,-0.037511568468691525,-0.019878505265251256,-0.008282934665073682,-0.037511568468689305,-0.01987850526524859,0,-0.037511568468691525,0.007473344064714134
0.38,0.04365027522430263,-0.02006080491085438,-0.008358856571108575,-0.03785551677509691,-0.02006080491085349,0,-0.03785551677509913,-0.02006080491085438,-0.008358856571108575,-0.03785551677509691,-0.02006080491085349,0,-0.03785551677509913,0.007541851499094011
0.4,0.044046883006128364,-0.020243104556461056,-0.008434778477154126,-0.03819946508150451,-0.020243104556461944,0,-0.03819946508150407,-0.020243104556461056,-0.008434778477154126,-0.03819946508150451,-0.020243104556461944,0,-0.03819946508150407,0.007610358933473889
0.42,0.04444349078798226,-0.02042540420206418,-0.008510700383195235,-0.03854341338790901,-0.020425404202065067,0,-0.03854341338791123,-0.02042540420206418,-0.008510700383195235,-0.03854341338790901,-0.020425404202065067,0,-0.03854341338791123,0.007678866367853767
0.44,0.044840098569873005,-0.020607703847669967,-0.008586622289240786,-0.03888736169431617,-0.020607703847667302,0,-0.03888736169431839,-0.020607703847669967,-0.008586622289240786,-0.03888736169431617,-0.020607703847667302,0,-0.03888736169431839,0.007747373802233644
0.46,0.045275011439581694,-0.02080745984450516,-0.008670029463364592,-0.039264575189067674,-0.020807459844507825,0,-0.039264575189069895,-0.02080745984450516,-0.008670029463364592,-0.039264575189067674,-0.020807459844507825,0,-0.039264575189069895,0.00782260019386508
0.48,0.045722415572450235,-0.021012908345107384,-0.00875587757813534,-0.039652636438157085,-0.02101290834511005,0,-0.039652636438160194,-0.021012908345107384,-0.00875587757813534,-0.039652636438157085,-0.02101290834511005,0,-0.039652636438160194,0.007900017632692666
0.5,0.04616981970661885,-0.021218356845710495,-0.008841725692882108,-0.04004069768724827,-0.021218356845709607,0,-0.04004069768724783,-0.021218356845710495,-0.008841725692882108,-0.04004069768724827,-0.021218356845709607,0,-0.04004069768724783,0.00797743507152025
0.52,0.04661722384204549,-0.021423805346315383,-0.008927573807625322,-0.04042875893633102,-0.02142380534631272,0,-0.04042875893633324,-0.021423805346315383,-0.008927573807625322,-0.04042875893633102,-0.02142380534631272,0,-0.04042875893633324,0.008054852510347836
0.54,0.047064627978699154,-0.02162925384690695,-0.009013421922377418,-0.040816820185416436,-0.021629253846904284,0,-0.040816820185418656,-0.02162925384690695,-0.009013421922377418,-0.040816820185416436,-0.021629253846904284,0,-0.040816820185418656,0.008132269949175422
0.56,0.04751203211655693,-0.02183470234751006,-0.009099270037138396,-0.04120488143450496,-0.021834702347510948,0,-0.04120488143450718,-0.02183470234751006,-0.009099270037138396,-0.04120488143450496,-0.021834702347510948,0,-0.04120488143450718,0.008209687388003005
