Time,normE,es.EX,es.EY,es.EZ,es.tEX,es.tEY,es.tEZ,es.Ex,es.Ey,es.Ez,es.tEx,es.tEy,es.tEz,V
0.0,0.016933635765178454,-0.012964831293547086,0.0022614465149626284,-0.01065584484766724,-0.012964831293546197,0,-0.01065584484767168,-0.012964831293547086,0.0022614465149626284,-0.01065584484766724,-0.012964831293546197,0,-0.01065584484767168,0.007237648517709499
0.02,0.015507683004991493,-0.011873086770856744,0.0020710138528254873,-0.009758531874027643,-0.01187308677085852,0,-0.009758531874027643,-0.011873086770856744,0.0020710138528254873,-0.009758531874027643,-0.01187308677085852,0,-0.009758531874027643,0.006628177115290792
0.04,0.01564999646716706,-0.011982047300000076,0.002090019418105271,-0.009848083608237967,-0.01198204730000274,0,-0.009848083608237967,-0.011982047300000076,0.002090019418105271,-0.009848083608237967,-0.01198204730000274,0,-0.009848083608237967,0.006689002624639896
0.06,0.015794042608832482,-0.012092327445438755,0.0021092566943154978,-0.009938734078311473,-0.012092327445437867,0,-0.00993873407831325,-0.012092327445438755,0.0021092566943154978,-0.009938734078311473,-0.012092327445437867,0,-0.00993873407831325,0.006750573366016296
0.08,0.015939233328887085,-0.012203490080214152,0.002128646502516318,-0.010030097359554624,-0.01220349008022037,0,-0.010030097359559065,-0.012203490080214152,0.002128646502516318,-0.010030097359554624,-0.01220349008022037,0,-0.010030097359559065,0.006812629058891077
0.1,0.016087419097844762,-0.01231696194845,0.002148435445270991,-0.010123325872836375,-0.012316961948449112,0,-0.010123325872836375,-0.01231696194845,0.002148435445270991,-0.010123325872836375,-0.012316961948449112,0,-0.010123325872836375,0.006875953737310707
0.12,0.01623560486683687,-0.012430433816681408,0.0021682243880158936,-0.010216554386111465,-0.012430433816682296,0,-0.010216554386111465,-0.012430433816681408,0.0021682243880158936,-0.010216554386111465,-0.012430433816682296,0,-0.010216554386111465,0.006939278415730336
0.14,0.016383790635871816,-0.012543905684913703,0.002188013330754579,-0.010309782899387887,-0.012543905684912815,0,-0.010309782899389663,-0.012543905684913703,0.002188013330754579,-0.010309782899387887,-0.012543905684912815,0,-0.010309782899389663,0.007002603094149968
0.16,0.016536891574177277,-0.012661122808388825,0.0022084596613831664,-0.010406125988620119,-0.012661122808389713,0,-0.010406125988621895,-0.012661122808388825,0.0022084596613831664,-0.010406125988620119,-0.012661122808389713,0,-0.010406125988621895,0.007068041051602705
0.18,0.016693879066789843,-0.01278130140421041,0.0022294258059991634,-0.010504931855413346,-0.012781301404213963,0,-0.010504931855416899,-0.01278130140421041,0.0022294258059991634,-0.010504931855413346,-0.012781301404213963,0,-0.010504931855416899,0.007135150034668129
0.2,0.016850866559447814,-0.012901480000041765,0.002250391950603614,-0.01060373772221368,-0.012901480000039989,0,-0.010603737722216344,-0.012901480000041765,0.002250391950603614,-0.01060373772221368,-0.012901480000039989,0,-0.010603737722216344,0.007202259017733555
0.22,0.01700785405213405,-0.013021658595867791,0.0022713580952080648,-0.010702543589011349,-0.01302165859586868,0,-0.010702543589014013,-0.013021658595867791,0.0022713580952080648,-0.010702543589011349,-0.01302165859586868,0,-0.010702543589014013,0.007269368000798978
0.24,0.0171648415448549,-0.013141837191694705,0.0022923242398125154,-0.01080134945581035,-0.013141837191693817,0,-0.010801349455813014,-0.013141837191694705,0.0022923242398125154,-0.01080134945581035,-0.013141837191693817,0,-0.010801349455813014,0.007336476983864402
0.26,0.01732182903760578,-0.013262015787520731,0.002313290384420519,-0.010900155322606242,-0.01326201578752162,0,-0.010900155322608018,-0.013262015787520731,0.002313290384420519,-0.010900155322606242,-0.01326201578752162,0,-0.010900155322608018,0.007403585966929825
0.28,0.017478816530390382,-0.013382194383347645,0.002334256529026746,-0.010998961189405243,-0.013382194383346757,0,-0.01099896118940702,-0.013382194383347645,0.002334256529026746,-0.010998961189405243,-0.013382194383346757,0,-0.01099896118940702,0.007470694949995249
0.3,0.017636955870978323,-0.013503258800529494,0.002355376282298316,-0.01109848713697259,-0.013503258800529494,0,-0.011098487136975255,-0.013503258800529494,0.002355376282298316,-0.01109848713697259,-0.013503258800529494,0,-0.011098487136975255,0.0075382934993644905
0.32,0.017803360690017953,-0.013630679732405504,0.0023775983072011897,-0.011203180270845436,-0.013630679732405504,0,-0.011203180270847213,-0.013630679732405504,0.0023775983072011897,-0.011203180270845436,-0.013630679732405504,0,-0.011203180270847213,0.007609405099496481
0.34,0.01796976550909398,-0.013758100664277961,0.0023998203320942935,-0.011307873404716062,-0.01375810066427885,0,-0.011307873404718727,-0.013758100664277961,0.0023998203320942935,-0.011307873404716062,-0.01375810066427885,0,-0.011307873404718727,0.007680516699628473
0.36,0.01813617032821402,-0.013885521596152195,0.0024220423569980554,-0.011412566538587576,-0.013885521596153083,0,-0.01141256653859024,-0.013885521596152195,0.0024220423569980554,-0.011412566538587576,-0.013885521596153083,0,-0.01141256653859024,0.007751628299760463
0.38,0.01830257514737045,-0.014012942528023764,0.0024442643819018173,-0.011517259672457314,-0.014012942528024652,0,-0.011517259672459979,-0.014012942528023764,0.0024442643819018173,-0.011517259672457314,-0.014012942528024652,0,-0.011517259672459979,0.007822739899892454
0.4,0.018468979966575243,-0.014140363459903327,0.0024664864068064674,-0.011621952806332825,-0.014140363459904215,0,-0.011621952806336378,-0.014140363459903327,0.0024664864068064674,-0.011621952806332825,-0.014140363459904215,0,-0.011621952806336378,0.007893851500024446
0.42,0.018635384785805644,-0.014267784391774008,0.002488708431694242,-0.011726645940203895,-0.014267784391778449,0,-0.011726645940205671,-0.014267784391774008,0.002488708431694242,-0.011726645940203895,-0.014267784391778449,0,-0.011726645940205671,0.007964963100156437
0.44,0.018801789605078646,-0.014395205323650018,0.0025109304565953394,-0.011831339074075409,-0.014395205323650906,0,-0.011831339074080738,-0.014395205323650018,0.0025109304565953394,-0.011831339074075409,-0.014395205323650906,0,-0.011831339074080738,0.008036074700288429
0.46,0.018982939980352324,-0.014533867026574221,0.002535124304298364,-0.011945369994825317,-0.014533867026580438,0,-0.011945369994825317,-0.014533867026574221,0.002535124304298364,-0.011945369994825317,-0.014533867026580438,0,-0.011945369994825317,0.008113522483115186
0.48,0.019170833811590536,-0.014677669372628266,0.002560219908389172,-0.012063671283656596,-0.014677669372633595,0,-0.01206367128365926,-0.014677669372628266,0.002560219908389172,-0.012063671283656596,-0.014677669372633595,0,-0.01206367128365926,0.008193867936739553
0.5,0.019358727643208146,-0.014821471718688528,0.0025853155124888616,-0.01218197257249054,-0.014821471718685864,0,-0.012181972572494093,-0.014821471718688528,0.0025853155124888616,-0.01218197257249054,-0.014821471718685864,0,-0.012181972572494093,0.008274213390363916
0.52,0.019546621475180437,-0.014965274064740797,0.0026104111165992094,-0.01230027386132182,-0.014965274064746126,0,-0.01230027386132182,-0.014965274064740797,0.0026104111165992094,-0.01230027386132182,-0.014965274064746126,0,-0.01230027386132182,0.008354558843988282
0.54,0.01973451530750193,-0.015109076410794842,0.0026355067206962346,-0.012418575150151323,-0.015109076410796618,0,-0.012418575150155764,-0.015109076410794842,0.0026355067206962346,-0.012418575150151323,-0.015109076410796618,0,-0.012418575150155764,0.008434904297612648
0.56,0.019922409140169472,-0.01525287875685244,0.002660602324799477,-0.01253687643898349,-0.015252878756854216,0,-0.012536876438987932,-0.01525287875685244,0.002660602324799477,-0.01253687643898349,-0.015252878756854216,0,-0.012536876438987932,0.008515249751237013
0.58,0.020110302973167085,-0.015396681102906484,0.0026856979288973903,-0.012655177727819211,-0.01539668110290826,0,-0.012655177727820988,-0.015396681102906484,0.0026856979288973903,-0.012655177727819211,-0.01539668110290826,0,-0.012655177727820988,0.008595595204861377
0.6,0.02029819680648472,-0.015540483448962306,0.00271079353299708,-0.012773479016649159,-0.015540483448964082,0,-0.012773479016650935,-0.015540483448962306,0.00271079353299708,-0.012773479016649159,-0.015540483448964082,0,-0.012773479016650935,0.008675940658485742
0.62,0.020486090640117045,-0.015684285795018127,0.002735889137093217,-0.012891780305482214,-0.015684285795019903,0,-0.012891780305485767,-0.015684285795018127,0.002735889137093217,-0.012891780305482214,-0.015684285795019903,0,-0.012891780305485767,0.008756286112110108
0.64,0.020673984474052633,-0.015828088141073948,0.002760984741189354,-0.01301008159431305,-0.015828088141075725,0,-0.013010081594314826,-0.015828088141073948,0.002760984741189354,-0.01301008159431305,-0.015828088141075725,0,-0.013010081594314826,0.008836631565734474
0.66,0.020861878308284596,-0.015971890487126217,0.0027860803452970373,-0.013128382883145662,-0.015971890487127993,0,-0.013128382883147438,-0.015971890487126217,0.0027860803452970373,-0.013128382883145662,-0.015971890487127993,0,-0.013128382883147438,0.008916977019358837
0.68,0.021049772142801276,-0.016115692833178485,0.0028111759493931743,-0.01324668417197472,-0.016115692833180262,0,-0.013246684171978274,-0.016115692833178485,0.0028111759493931743,-0.01324668417197472,-0.016115692833180262,0,-0.013246684171978274,0.008997322472983203
0.7,0.02123766597761364,-0.016259495179239636,0.002836271553503522,-0.01336498546081355,-0.01625949517924319,0,-0.013364985460815326,-0.016259495179239636,0.002836271553503522,-0.01336498546081355,-0.01625949517924319,0,-0.013364985460815326,0.00907766792660757
0.72,0.021425559812684195,-0.016403297525291904,0.002861367157604988,-0.013483286749640833,-0.016403297525297234,0,-0.013483286749644385,-0.016403297525291904,0.002861367157604988,-0.013483286749640833,-0.016403297525297234,0,-0.013483286749644385,0.009158013380231934
0.74,0.02161345364803399,-0.01654709987135483,0.002886462761700237,-0.013601588038476997,-0.01654709987135483,0,-0.01360158803848055,-0.01654709987135483,0.002886462761700237,-0.013601588038476997,-0.01654709987135483,0,-0.01360158803848055,0.0092383588338563
0.76,0.021819242744534194,-0.01670469088677784,0.0029139436444687306,-0.013731044707485651,-0.01670469088677784,0,-0.01373104470749098,-0.01670469088677784,0.0029139436444687306,-0.013731044707485651,-0.01670469088677784,0,-0.01373104470749098,0.00932629254963974
0.78,0.022029122323001065,-0.016865433703019406,0.002941969751947049,-0.013863051262598347,-0.016865433703021182,0,-0.0138630512626019,-0.016865433703019406,0.002941969751947049,-0.013863051262598347,-0.016865433703021182,0,-0.0138630512626019,0.009415960783104436
0.8,0.02223900190186062,-0.01702617651926097,0.0029699958594164855,-0.01399505781770749,-0.017026176519264524,0,-0.01399505781771282,-0.01702617651926097,0.0029699958594164855,-0.01399505781770749,-0.017026176519264524,0,-0.01399505781771282,0.009505629016569131
0.82,0.022448881481107793,-0.017186919335502537,0.0029980219668930275,-0.014127064372819298,-0.01718691933550609,0,-0.014127064372819298,-0.017186919335502537,0.0029980219668930275,-0.014127064372819298,-0.01718691933550609,0,-0.014127064372819298,0.009595297250033828
0.84,0.022658761060721535,-0.017347662151742327,0.0030260480743553586,-0.014259070927924,-0.017347662151749432,0,-0.014259070927927553,-0.017347662151742327,0.0030260480743553586,-0.014259070927924,-0.017347662151749432,0,-0.014259070927927553,0.009684965483498524
0.86,0.022868640640707996,-0.01750840496798567,0.003054074181829236,-0.014391077483035808,-0.01750840496798567,0,-0.014391077483037584,-0.01750840496798567,0.003054074181829236,-0.014391077483035808,-0.01750840496798567,0,-0.014391077483037584,0.00977463371696322
0.88,0.023078520221039015,-0.017669147784221906,0.0030821002892977845,-0.014523084038142287,-0.01766914778422546,0,-0.01452308403814584,-0.017669147784221906,0.0030821002892977845,-0.014523084038142287,-0.01766914778422546,0,-0.01452308403814584,0.009864301950427918
0.9,0.023288399801727543,-0.017829890600470577,0.003110126396771662,-0.014655090593253206,-0.017829890600470577,0,-0.014655090593256759,-0.017829890600470577,0.003110126396771662,-0.014655090593253206,-0.017829890600470577,0,-0.014655090593256759,0.009953970183892614
0.92,0.02349827938274262,-0.017990633416710367,0.003138152504243763,-0.014787097148361461,-0.01799063341671392,0,-0.014787097148365014,-0.017990633416710367,0.003138152504243763,-0.014787097148361461,-0.01799063341671392,0,-0.014787097148365014,0.01004363841735731
0.94,0.023708158964089565,-0.018151376232955485,0.0031661786117140878,-0.01491910370347238,-0.018151376232955485,0,-0.01491910370347238,-0.018151376232955485,0.0031661786117140878,-0.01491910370347238,-0.018151376232955485,0,-0.01491910370347238,0.010133306650822009
0.96,0.023918038545744653,-0.018312119049189945,0.0031942047191986234,-0.015051110258577971,-0.018312119049193498,0,-0.015051110258581524,-0.018312119049189945,0.0031942047191986234,-0.015051110258577971,-0.018312119049193498,0,-0.015051110258581524,0.010222974884286704
