Time,normE,es.EX,es.EY,es.EZ,es.tEX,es.tEY,es.tEZ,es.Ex,es.Ey,es.Ez,es.tEx,es.tEy,es.tEz,V
0.0,10.989459342694703,6.9739053546537875,2.0854413270960954,-7.638992333722577,6.973905354653765,0,-7.638992333722562,6.9739053546537875,2.0854413270960954,-7.638992333722577,6.973905354653765,0,-7.638992333722562,0.009413336463149784
0.02,9.544440524296645,6.05689715083855,1.811223833916971,-6.634530930235911,6.056897150838537,0,-6.634530930235897,6.05689715083855,1.811223833916971,-6.634530930235911,6.056897150838537,0,-6.634530930235897,0.0081755641314675
0.04,9.685973016188258,6.146713614249538,1.8380820848635784,-6.732912975770731,6.146713614249527,0,-6.7329129757707165,6.146713614249538,1.8380820848635784,-6.732912975770731,6.146713614249527,0,-6.7329129757707165,0.008296797787411905
0.06,9.829634298649934,6.237880988347273,1.8653443162631569,-6.832774800559719,6.237880988347266,0,-6.832774800559704,6.237880988347273,1.8653443162631569,-6.832774800559719,6.237880988347266,0,-6.832774800559704,0.008419854989480264
0.08,9.976947681999185,6.33136600801836,1.8932995904139935,-6.935175254795373,6.3313660080183425,0,-6.935175254795358,6.33136600801836,1.8932995904139935,-6.935175254795373,6.3313660080183425,0,-6.935175254795358,0.00854604041324918
0.1,10.126834817978509,6.4264843468592385,1.9217432740198124,-7.03936476262412,6.426484346859223,0,-7.039364762624105,6.4264843468592385,1.9217432740198124,-7.03936476262412,6.426484346859223,0,-7.039364762624105,0.008674430395182568
0.12,10.276721953957825,6.521602685700115,1.95018695762562,-7.1435542704528565,6.521602685700097,0,-7.143554270452835,6.521602685700115,1.95018695762562,-7.1435542704528565,6.521602685700097,0,-7.143554270452835,0.008802820377115952
0.14,10.42908095891015,6.618289719297705,1.9790997076819545,-7.249461986654925,6.618289719297691,0,-7.249461986654911,6.618289719297705,1.9790997076819545,-7.249461986654925,6.618289719297691,0,-7.249461986654911,0.0089333275312776
0.16,10.592462607337119,6.721971930719247,2.0101041350505726,-7.363031596962692,6.721971930719232,0,-7.363031596962678,6.721971930719247,2.0101041350505726,-7.363031596962692,6.721971930719232,0,-7.363031596962678,0.009073275652942433
0.18,10.755844255764083,6.825654142140774,2.0411085624192054,-7.476601207270434,6.825654142140766,0,-7.47660120727042,6.825654142140774,2.0411085624192054,-7.476601207270434,6.825654142140766,0,-7.47660120727042,0.00921322377460727
