Time,normE,es.EX,es.EY,es.EZ,es.tEX,es.tEY,es.tEZ,es.Ex,es.Ey,es.Ez,es.tEx,es.tEy,es.tEz,V
0.0,22.561338466302676,-10.654763836285369,8.548418144121655,10.247454533808245,-10.654763836285362,0,10.247454533808252,-10.654763836285369,8.548418144121655,10.247454533808245,-10.654763836285362,0,10.247454533808252,0.0070807790029179946
0.1,22.931235435148654,-10.82945049588691,8.688570908782886,10.415463287612067,-10.829450495886917,0,10.415463287612056,-10.82945049588691,8.688570908782886,10.415463287612067,-10.829450495886917,0,10.415463287612056,0.007196869575162142
0.2,24.020138669919852,-11.34369356649988,9.101152857264967,10.910047317377565,-11.34369356649988,0,10.910047317377575,-11.34369356649988,9.101152857264967,10.910047317377565,-11.34369356649988,0,10.910047317377575,0.007538617186778109
0.3,25.147239565399502,-11.87597635008899,9.528207865677384,11.421979916356648,-11.875976350088997,0,11.421979916356634,-11.87597635008899,9.528207865677384,11.421979916356648,-11.875976350088997,0,11.421979916356634,0.007892353011869361
0.4,26.33454339378094,-12.436689690087938,9.978073455254261,11.961258178181467,-12.436689690087938,0,11.961258178181453,-12.436689690087938,9.978073455254261,11.961258178181467,-12.436689690087938,0,11.961258178181453,0.008264983214821695
0.5,27.577175898939597,-13.023532272576809,10.448902878371776,12.525667203301992,-13.023532272576794,0,12.525667203301964,-13.023532272576809,10.448902878371776,12.525667203301992,-13.023532272576794,0,12.525667203301964,0.008654978074410728
0.6,28.938569421299924,-13.666460611783954,10.96473046027593,13.144018045040845,-13.666460611783954,0,13.144018045040838,-13.666460611783954,10.96473046027593,13.144018045040845,-13.666460611783954,0,13.144018045040838,0.009082245565867097
0.7,30.29996294366022,-14.309388950991114,11.480558042180157,13.762368886779708,-14.309388950991092,0,13.762368886779711,-14.309388950991114,11.480558042180157,13.762368886779708,-14.309388950991092,0,13.762368886779711,0.009509513057323464
0.8,31.681896865600137,-14.962015821882574,12.004168027266033,14.390052339920981,-14.962015821882567,0,14.390052339920999,-14.962015821882574,12.004168027266033,14.390052339920981,-14.962015821882567,0,14.390052339920999,0.009943226932500729
0.9,33.21128288388025,-15.684264942457048,12.583645068839218,15.08473123344423,-15.684264942457062,0,15.084731233444188,-15.684264942457048,12.583645068839218,15.08473123344423,-15.684264942457062,0,15.084731233444188,0.01042321706387606
1.0,34.74066890218661,-16.406514063031537,13.163122110412381,15.779410126967527,-16.40651406303156,0,15.779410126967491,-16.406514063031537,13.163122110412381,15.779410126967527,-16.40651406303156,0,15.779410126967491,0.01090320719525139
1.1,36.325591357728385,-17.154996137547585,13.763642585651787,16.499304737099642,-17.154996137547606,0,16.499304737099635,-17.154996137547585,13.763642585651787,16.499304737099642,-17.154996137547606,0,16.499304737099635,0.011400627592819887
1.2,38.04664643650748,-17.96778123570553,14.415745372801972,17.28100888743291,-17.96778123570553,0,17.281008887432904,-17.96778123570553,14.415745372801972,17.28100888743291,-17.96778123570553,0,17.281008887432904,0.01194077359504601
1.3,39.767701515289914,-18.780566333863405,15.06784815995217,18.062713037766265,-18.780566333863376,0,18.06271303776623,-18.780566333863405,15.06784815995217,18.062713037766265,-18.780566333863376,0,18.06271303776623,0.012480919597272135
1.4,41.588962893576294,-19.640680275151766,15.757919682290158,18.88992179163636,-19.640680275151738,0,18.889921791636368,-19.640680275151766,15.757919682290158,18.88992179163636,-19.640680275151738,0,18.889921791636368,0.013052515323315476
1.5,43.52917571763618,-20.556976655509615,16.493062582040487,19.771147492604612,-20.556976655509622,0,19.771147492604655,-20.556976655509615,16.493062582040487,19.771147492604612,-20.556976655509622,0,19.771147492604655,0.013661443932971536
1.6,45.469388541722424,-21.47327303586745,17.228205481790845,20.652373193572856,-21.473273035867436,0,20.652373193572828,-21.47327303586745,17.228205481790845,20.652373193572856,-21.473273035867436,0,20.652373193572828,0.014270372542627599
1.7,47.48749363265472,-22.426349837582464,17.992860753657567,21.568985956623933,-22.42634983758245,0,21.56898595662392,-22.426349837582464,17.992860753657567,21.568985956623933,-22.42634983758245,0,21.56898595662392,0.014903746958833671
1.8,49.61098581960153,-23.42919001061638,18.797445832685945,22.53347689630629,-23.429190010616352,0,22.53347689630624,-23.42919001061638,18.797445832685945,22.53347689630629,-23.429190010616352,0,22.53347689630624,0.01557019619320776
1.9,51.80660755849384,-24.466089473757705,19.62935986572265,23.530736851923244,-24.466089473757705,0,23.530736851923223,-24.466089473757705,19.62935986572265,23.530736851923244,-24.466089473757705,0,23.530736851923223,0.01625928265647915
2.0,54.07435884933261,-25.537048227006892,20.488602852767443,24.560765823475194,-25.537048227006863,0,24.56076582347515,-25.537048227006892,20.488602852767443,24.560765823475194,-25.537048227006863,0,24.56076582347515,0.016971006348647837
2.1,56.414239692122706,-26.6420662703637,21.37517479382062,25.623563810961784,-26.6420662703637,0,25.62356381096174,-26.6420662703637,21.37517479382062,25.623563810961784,-26.6420662703637,0,25.62356381096174,0.017705367269713817
2.2,58.82625008687245,-27.78114360382814,22.289075688881894,26.719130814382886,-27.781143603828184,0,26.71913081438288,-27.78114360382814,22.289075688881894,26.719130814382886,-27.781143603828184,0,26.71913081438288,0.018462365419677097
2.3,61.39661888547211,-28.995049973928715,23.262984862299078,27.8865523832593,-28.995049973928687,0,27.8865523832593,-28.995049973928715,23.262984862299078,27.8865523832593,-28.995049973928687,0,27.8865523832593,0.01926906678249659
2.4,64.06931943703353,-30.257295495791126,24.275669129825246,29.100432929067452,-30.257295495791155,0,29.100432929067495,-30.257295495791126,24.275669129825246,29.100432929067452,-30.257295495791155,0,29.100432929067495,0.02010788540632978
2.5,66.84127575063499,-31.56642581428511,25.32596274119051,30.35937817604396,-31.566425814285125,0,30.35937817604406,-31.56642581428511,25.32596274119051,30.35937817604396,-31.566425814285125,0,30.35937817604406,0.020977855782288887
2.6,69.71248782635485,-32.922440929410755,26.41386569639495,31.663388124188586,-32.922440929410655,0,31.6633881241886,-32.922440929410755,26.41386569639495,31.663388124188586,-32.922440929410655,0,31.6633881241886,0.021878977910373923
2.7,72.68295566427636,-34.32534084116796,27.539377995438514,33.01246277350174,-34.32534084116793,0,33.01246277350185,-34.32534084116796,27.539377995438514,33.01246277350174,-34.32534084116793,0,33.01246277350185,0.022811251790584876
2.8,75.77083453098388,-35.783675092477466,28.7093747608684,34.414889413794185,-35.783675092477495,0,34.414889413794185,-35.783675092477466,28.7093747608684,34.414889413794185,-35.783675092477495,0,34.414889413794185,0.023780373612247448
