Time,normE,es.EX,es.EY,es.EZ,es.tEX,es.tEY,es.tEZ,es.Ex,es.Ey,es.Ez,es.tEx,es.tEy,es.tEz,V
0.0,20.33007006224306,-11.296211065499687,-1.2193281931278586,15.125546884366067,-11.296211065499728,0,15.125546884366049,-11.296211065499687,-1.2193281931278586,15.125546884366067,-11.296211065499728,0,15.125546884366049,0.016696377785212747
0.1,21.320833118270674,-11.846719797305642,-1.2787503204915058,15.862673214839823,-11.84671979730566,0,15.862673214839798,-11.846719797305642,-1.2787503204915058,15.862673214839823,-11.84671979730566,0,15.862673214839798,0.017510055749133314
0.2,22.781352136240464,-12.658164482749033,-1.3664094737275754,16.949315759930542,-12.658164482749065,0,16.949315759930524,-12.658164482749033,-1.3664094737275754,16.949315759930542,-12.658164482749065,0,16.949315759930524,0.01870969318860664
0.3,24.31572916837007,-13.510228623652488,-1.4588283600780096,18.091005670567668,-13.510228623652514,0,18.091005670567647,-13.510228623652488,-1.4588283600780096,18.091005670567668,-13.510228623652514,0,18.091005670567647,0.019970858334410233
0.4,25.98199449312193,-14.436440494397306,-1.5584760171639243,19.330619911657227,-14.436440494397331,0,19.330619911657205,-14.436440494397306,-1.5584760171639243,19.330619911657227,-14.436440494397331,0,19.330619911657205,0.021338540770376547
0.5,27.695959112061885,-15.38955277917891,-1.6606720325676676,20.605630439194872,-15.389552779178906,0,20.605630439194847,-15.38955277917891,-1.6606720325676676,20.605630439194872,-15.389552779178906,0,20.605630439194847,0.02274457246151034
0.6,29.48793418620371,-16.385158091645938,-1.7682184383430757,21.938878209791763,-16.385158091645962,0,21.93887820979174,-16.385158091645938,-1.7682184383430757,21.938878209791763,-16.385158091645962,0,21.93887820979174,0.024216443457335653
0.7,31.353404472478445,-17.42079692695476,-1.8808055528375496,23.326992440305457,-17.42079692695479,0,23.32699244030544,-17.42079692695476,-1.8808055528375496,23.326992440305457,-17.42079692695479,0,23.32699244030544,0.0257503429658798
0.8,33.25724433917961,-18.478030289609144,-1.9954774829977557,24.74358989732107,-18.47803028960917,0,24.743589897321023,-18.478030289609144,-1.9954774829977557,24.74358989732107,-18.47803028960917,0,24.743589897321023,0.027315182906776585
0.9,35.242137940462435,-19.580881022033513,-2.1145534830232187,26.220356759982252,-19.58088102203358,0,26.22035675998221,-19.580881022033513,-2.1145534830232187,26.220356759982252,-19.58088102203358,0,26.22035675998221,0.028945382979010875
1.0,37.228905274654934,-20.684762717469923,-2.2337498654107426,27.69852002531491,-20.68476271746996,0,27.69852002531489,-20.684762717469923,-2.2337498654107426,27.69852002531491,-20.68476271746996,0,27.69852002531489,0.030577142993862407
1.1,39.23560343957163,-21.799610730082634,-2.3542267507361654,29.191536776586222,-21.799610730082673,0,29.191536776586176,-21.799610730082634,-2.3542267507361654,29.191536776586222,-21.799610730082673,0,29.191536776586176,0.03222549606328353
1.2,41.25494570930465,-22.921415765843488,-2.4755159861364264,30.693976567866628,-22.92141576584354,0,30.69397656786659,-22.921415765843488,-2.4755159861364264,30.693976567866628,-22.92141576584354,0,30.69397656786659,0.03388437575370987
1.3,43.286932085502414,-24.05017782475235,-2.5976175716117886,32.20583939915596,-24.05017782475239,0,32.2058393991559,-24.05017782475235,-2.5976175716117886,32.20583939915596,-24.05017782475239,0,32.2058393991559,0.03555378206514142
1.4,45.33156257025283,-25.185896906809383,-2.720531507161919,33.72712527045449,-25.18589690680942,0,33.727125270454465,-25.185896906809383,-2.720531507161919,33.72712527045449,-25.18589690680942,0,33.727125270454465,0.0372337149975782
1.5,47.345446634920144,-26.30477124910835,-2.8414129385847087,35.225480571539094,-26.3047712491084,0,35.22548057153904,-26.30477124910835,-2.8414129385847087,35.225480571539094,-26.3047712491084,0,35.22548057153904,0.0388878998415894
1.6,49.3368755599562,-27.41134901311693,-2.960805475036601,36.707087594198036,-27.411349013116954,0,36.70708759419798,-27.41134901311693,-2.960805475036601,36.707087594198036,-27.411349013116954,0,36.70708759419798,0.04052326815246934
