Time,normE,es.EX,es.EY,es.EZ,es.tEX,es.tEY,es.tEZ,es.Ex,es.Ey,es.Ez,es.tEx,es.tEy,es.tEz,V
0.0,45.40177674219743,-21.441334897004367,17.20258625718168,20.62167730162144,-21.441334897004353,0,20.621677301621446,-21.441334897004367,17.20258625718168,20.62167730162144,-21.441334897004353,0,20.621677301621446,0.014249152259717018
0.1,47.255469742195345,-22.31675466572571,17.90494430698726,21.463633143859624,-22.316754665725725,0,21.463633143859568,-22.31675466572571,17.90494430698726,21.463633143859624,-22.316754665725725,0,21.463633143859568,0.014830925759368445
0.2,50.21352918485076,-23.71372713555445,19.025746163773036,22.807189853606346,-23.713727135554464,0,22.80718985360636,-23.71372713555445,19.025746163773036,22.807189853606346,-23.713727135554464,0,22.80718985360636,0.015759300910671056
0.3,53.34842290166018,-25.194220045158943,20.213553810048197,24.231056449988607,-25.194220045158914,0,24.231056449988557,-25.194220045158943,20.213553810048197,24.231056449988607,-25.194220045158914,0,24.231056449988557,0.01674317605944253
0.4,56.64529110053918,-26.75136073841165,21.462798926405817,25.728340081172476,-26.751360738411663,0,25.728340081172462,-26.75136073841165,21.462798926405817,25.728340081172476,-26.751360738411663,0,25.728340081172462,0.017777908405003477
0.5,60.33862137316615,-28.49560316134084,22.86220684110748,27.405827251382583,-28.495603161340824,0,27.40582725138256,-28.49560316134084,22.86220684110748,27.405827251382583,-28.495603161340824,0,27.40582725138256,0.018937049784772206
0.6,64.0323058680112,-30.240012751799,24.261748919956062,29.083475425878547,-30.240012751799043,0,29.08347542587859,-30.240012751799,24.261748919956062,29.083475425878547,-30.240012751799043,0,29.08347542587859,0.020096302318782407
0.7,68.03631418204972,-32.130273020917116,25.77857279634088,30.902767616844685,-32.13027302091707,0,30.902767616844642,-32.130273020917116,25.77857279634088,30.902767616844685,-32.13027302091707,0,30.902767616844642,0.021352847246124608
0.8,72.11550133186157,-34.05586696602859,27.323809273010824,32.75637438097817,-34.05586696602859,0,32.75637438097817,-34.05586696602859,27.323809273010824,32.75637438097817,-34.05586696602859,0,32.75637438097817,0.022632962155685672
0.9,76.50885835103287,-36.133142948236525,28.989500939041577,34.749399908285724,-36.13314294823654,0,34.74939990828568,-36.133142948236525,28.989500939041577,34.749399908285724,-36.13314294823654,0,34.74939990828568,0.02401215498055484
1.0,80.96643839863182,-38.241425850347724,30.67981611672799,36.7709254907448,-38.241425850347696,0,36.770925490744844,-38.241425850347724,30.67981611672799,36.7709254907448,-38.241425850347696,0,36.770925490744844,0.0254116013637421
1.1,85.79443751665741,-40.52031928217008,32.50862621139025,38.964980423098694,-40.52031928217019,0,38.96498042309861,-40.52031928217008,32.50862621139025,38.964980423098694,-40.52031928217019,0,38.96498042309861,0.026926681176148742
1.2,90.68497040223113,-42.82801496974568,34.36081684432284,41.188161544023416,-42.82801496974568,0,41.18816154402339,-42.82801496974568,34.36081684432284,41.188161544023416,-42.82801496974568,0,41.18816154402339,0.028461282079121256
1.3,95.75639419636187,-45.22165472125158,36.28177022302333,43.49299026963341,-45.221654721251554,0,43.49299026963331,-45.22165472125158,36.28177022302333,43.49299026963341,-45.221654721251554,0,43.49299026963331,0.03005272868371958
1.4,100.98754746201982,-47.69118443569988,38.26344218994858,45.86991511695854,-47.69118443569985,0,45.86991511695851,-47.69118443569988,38.26344218994858,45.86991511695854,-47.69118443569985,0,45.86991511695851,0.03169437093875071
1.5,106.36253101149953,-50.22905017441889,40.299788935431266,48.311759778873224,-50.229050174418916,0,48.311759778873125,-50.22905017441889,40.299788935431266,48.311759778873224,-50.229050174418916,0,48.311759778873125,0.03338121246722032
1.6,111.88134483117764,-52.83525193740891,42.390810459472036,50.81852425537713,-52.835251937408884,0,50.818524255377156,-52.83525193740891,42.390810459472036,50.81852425537713,-52.835251937408884,0,50.818524255377156,0.035113253269128425
1.7,117.54176748659305,-55.50842650924858,44.53552543528993,53.389514657568284,-55.508426509248665,0,53.38951465756827,-55.50842650924858,44.53552543528993,53.389514657568284,-55.508426509248665,0,53.38951465756827,0.036889752015645746
1.8,123.34491311736453,-58.24925759770437,46.73442603802516,56.025078998844876,-58.24925759770426,0,56.02507899884483,-58.24925759770437,46.73442603802516,56.025078998844876,-58.24925759770426,0,56.02507899884483,0.038711080513215944
1.9,129.29091175118552,-61.05782499331096,48.98756970584074,58.72525789330638,-61.05782499331096,0,58.72525789330632,-61.05782499331096,48.98756970584074,58.72525789330638,-61.05782499331096,0,58.72525789330632,0.040577282152651335
2.0,135.3797633958737,-63.934128696069536,51.29495643873648,61.49005134095282,-63.93412869606928,0,61.490051340952846,-63.934128696069536,51.29495643873648,61.49005134095282,-63.93412869606928,0,61.490051340952846,0.04248835693395189
2.1,141.42905594303798,-66.7915727257818,53.587278773372844,64.23705230770474,-66.79157272578183,0,64.23705230770452,-66.7915727257818,53.587278773372844,64.23705230770474,-66.79157272578183,0,64.23705230770452,0.044386990608347957
2.2,147.54320370816856,-69.67972539242498,55.90420891876744,67.01343131348912,-69.6797253924251,0,67.01343131348926,-69.67972539242498,55.90420891876744,67.01343131348912,-69.6797253924251,0,67.01343131348926,0.046305990362069435
2.3,153.7248701822832,-72.59985112657989,58.24675886734752,69.82039162402017,-72.59985112658,0,69.82039162401998,-72.59985112657989,58.24675886734752,69.82039162402017,-72.59985112658,0,69.82039162401998,0.04824619306870658
2.4,159.96625607238607,-75.5482637646245,60.61197225245752,72.65439362662559,-75.54826376462444,0,72.65439362662573,-75.5482637646245,60.61197225245752,72.65439362662559,-75.54826376462444,0,72.65439362662573,0.050205150537851365
2.5,165.9816196332331,-78.38991381246012,62.89153705596195,75.3857569951613,-78.38991381246007,0,75.38575699516127,-78.38991381246012,62.89153705596195,75.3857569951613,-78.38991381246007,0,75.38575699516127,0.05209316873798535
