Time,normE,es.EX,es.EY,es.EZ,es.tEX,es.tEY,es.tEZ,es.Ex,es.Ey,es.Ez,es.tEx,es.tEy,es.tEz,V
0.0,2.0968433490098666,-2.0261048483538504,0.15608411384509346,-0.5164007664182768,-2.026104848353855,0,-0.5164007664182844,-2.0261048483538504,0.15608411384509346,-0.5164007664182768,-2.026104848353855,0,-0.5164007664182844,0.012151640571828817
0.1,2.3548837255147257,-2.2754394980260937,0.17529444205416234,-0.5799511759163862,-2.2754394980261026,0,-0.5799511759163885,-2.2754394980260937,0.17529444205416234,-0.5799511759163862,-2.2754394980261026,0,-0.5799511759163885,0.013646984276070747
0.2,2.5003058856670544,-2.415955699359488,0.18611948327293815,-0.6157651700834257,-2.415955699359465,0,-0.6157651700834208,-2.415955699359488,0.18611948327293815,-0.6157651700834257,-2.415955699359465,0,-0.6157651700834208,0.014489732049216648
0.3,2.654600182331037,-2.5650423095957056,0.19761375303947393,-0.6537709849602589,-2.5650423095957073,0,-0.6537709849602464,-2.5650423095957056,0.19761375303947393,-0.6537709849602589,-2.5650423095957073,0,-0.6537709849602464,0.015383699394721053
0.4,2.8189844038749836,-2.723888362218325,0.20982309749540173,-0.6942337023901004,-2.723888362218343,0,-0.6942337023901004,-2.723888362218325,0.20982309749540173,-0.6942337023901004,-2.723888362218343,0,-0.6942337023901004,0.016336943343389764
0.5,2.9916076429665637,-2.890684655023726,0.22268507096695078,-0.7367560837301483,-2.8906846550237297,0,-0.7367560837301532,-2.890684655023726,0.22268507096695078,-0.7367560837301483,-2.8906846550237297,0,-0.7367560837301532,0.017337056084521515
0.6,3.17027039580418,-3.063314856765885,0.23600335972702458,-0.7807710963457053,-3.0633148567658743,0,-0.7807710963457026,-3.063314856765885,0.23600335972702458,-0.7807710963457053,-3.0633148567658743,0,-0.7807710963457026,0.018372018429169353
0.7,3.3577258886338095,-3.2444459698603936,0.2499587222408377,-0.8269379782643851,-3.2444459698603616,0,-0.8269379782643753,-3.2444459698603936,0.2499587222408377,-0.8269379782643851,-3.2444459698603616,0,-0.8269379782643753,0.019458325729090984
0.8,3.55271611658732,-3.43286144630658,0.2644610856310319,-0.8749496912196317,-3.4328614463066245,0,-0.8749496912196371,-3.43286144630658,0.2644610856310319,-0.8749496912196317,-3.4328614463066245,0,-0.8749496912196371,0.020588607900433924
0.9,3.7589607480874307,-3.632146673440033,0.2798192835892115,-0.9257471501368251,-3.6321466734400865,0,-0.9257471501368215,-3.632146673440033,0.2798192835892115,-0.9257471501368251,-3.6321466734400865,0,-0.9257471501368215,0.021783708041473462
