Time,normE,es.EX,es.EY,es.EZ,es.tEX,es.tEY,es.tEZ,es.Ex,es.Ey,es.Ez,es.tEx,es.tEy,es.tEz,V
0.0,0.05185802116760243,-0.03970349045982502,0.006925509890951531,-0.032633181234388076,-0.039703490459832125,0,-0.03263318123439518,-0.03970349045982502,0.006925509890951531,-0.032633181234388076,-0.039703490459832125,0,-0.03263318123439518,0.02216474579105944
0.02,0.04749133584228859,-0.03636027285824284,0.006342349915929191,-0.029885316382850746,-0.03636027285824994,0,-0.02988531638285785,-0.03636027285824284,0.006342349915929191,-0.029885316382850746,-0.03636027285824994,0,-0.02988531638285785,0.020298371646037774
0.04,0.04792735154102674,-0.036694094797088184,0.006400578729373052,-0.030159692052283305,-0.03669409479709529,0,-0.03015969205229041,-0.036694094797088184,0.006400578729373052,-0.030159692052283305,-0.03669409479709529,0,-0.03015969205229041,0.020484730031868237
0.06,0.04836803022377658,-0.03703148680583368,0.006459430272659716,-0.030437002040775596,-0.037031486805840785,0,-0.030437002040786254,-0.03703148680583368,0.006459430272659716,-0.030437002040775596,-0.037031486805840785,0,-0.030437002040786254,0.020673081433324837
0.08,0.04881384090120775,-0.03737280796712383,0.0065189671811047845,-0.030717541488090916,-0.03737280796713094,0,-0.03071754148809447,-0.03737280796712383,0.0065189671811047845,-0.030717541488090916,-0.03737280796713094,0,-0.03071754148809447,0.020863626311582145
0.1,0.04926665878058654,-0.03771949397525276,0.006579439883871885,-0.03100249042364389,-0.037719493975259866,0,-0.03100249042365455,-0.03771949397525276,0.006579439883871885,-0.03100249042364389,-0.037719493975259866,0,-0.03100249042365455,0.021057166152976963
0.12,0.0497194766599698,-0.03806617998338524,0.0066399125866354325,-0.03128743935920042,-0.038066179983392345,0,-0.03128743935920397,-0.03806617998338524,0.0066399125866354325,-0.03128743935920042,-0.038066179983392345,0,-0.03128743935920397,0.021250705994371778
0.14,0.050172294539330364,-0.038412865991499956,0.006700385289406086,-0.03157238829474096,-0.038412865991499956,0,-0.031572388294748066,-0.038412865991499956,0.006700385289406086,-0.03157238829474096,-0.038412865991499956,0,-0.031572388294748066,0.021444245835766595
0.16,0.05064704997064943,-0.038776347806990685,0.006763787697838808,-0.03187114207961983,-0.038776347806990685,0,-0.03187114207962338,-0.038776347806990685,0.006763787697838808,-0.03187114207961983,-0.038776347806990685,0,-0.03187114207962338,0.021647162052800893
0.18,0.051125653769140064,-0.03914277600565086,0.006827704046159511,-0.03217231756264205,-0.039142776005657964,0,-0.0321723175626456,-0.03914277600565086,0.006827704046159511,-0.03217231756264205,-0.039142776005657964,0,-0.0321723175626456,0.021851723108617084
0.2,0.051604257567617856,-0.039509204204300374,0.006891620394512188,-0.03247349304565006,-0.03950920420430748,0,-0.032473493045657165,-0.039509204204300374,0.006891620394512188,-0.03247349304565006,-0.03950920420430748,0,-0.032473493045657165,0.02205628416443327
0.22,0.0520828613661216,-0.039875632402971206,0.006955536742836443,-0.032774668528679385,-0.039875632402981864,0,-0.03277466852868649,-0.039875632402971206,0.006955536742836443,-0.032774668528679385,-0.039875632402981864,0,-0.03277466852868649,0.02226084522024946
0.24,0.05256146516462176,-0.04024206060163493,0.007019453091199779,-0.03307584401170338,-0.04024206060164204,0,-0.033075844011706934,-0.04024206060163493,0.007019453091199779,-0.03307584401170338,-0.04024206060164204,0,-0.033075844011706934,0.022465406276065646
0.26,0.05304006896310468,-0.040608488800288,0.007083369439545351,-0.03337701949471672,-0.040608488800295106,0,-0.03337701949472027,-0.040608488800288,0.007083369439545351,-0.03337701949471672,-0.040608488800295106,0,-0.03337701949472027,0.02266996733188183
0.28,0.053518672761603006,-0.04097491699895883,0.007147285787862501,-0.03367819497773894,-0.04097491699895173,0,-0.03367819497773894,-0.04097491699895883,0.007147285787862501,-0.03367819497773894,-0.04097491699895173,0,-0.03367819497773894,0.02287452838769802
0.3,0.054016696260867456,-0.04135621329191963,0.007213795588967287,-0.0339915908761661,-0.04135621329191963,0,-0.0339915908761661,-0.04135621329191963,0.007213795588967287,-0.0339915908761661,-0.04135621329191963,0,-0.0339915908761661,0.023087389658214868
0.32,0.05452277766428228,-0.04174367887040731,0.007281381503077,-0.034310057446756304,-0.041743678870414413,0,-0.03431005744676341,-0.04174367887040731,0.007281381503077,-0.034310057446756304,-0.041743678870414413,0,-0.03431005744676341,0.02330369497430155
0.34,0.0550288590676923,-0.042131144448894986,0.0073489674172009245,-0.03462852401733585,-0.042131144448894986,0,-0.034628524017342954,-0.042131144448894986,0.0073489674172009245,-0.03462852401733585,-0.042131144448894986,0,-0.034628524017342954,0.023520000290388227
0.36,0.05553494047110959,-0.04251861002737556,0.0074165533313781395,-0.034946990587924276,-0.042518610027396875,0,-0.03494699058793138,-0.04251861002737556,0.0074165533313781395,-0.034946990587924276,-0.042518610027396875,0,-0.03494699058793138,0.0237363056064749
0.38,0.056041021874525046,-0.04290607560587034,0.007484139245502064,-0.03526545715850382,-0.042906075605863236,0,-0.035265457158521585,-0.04290607560587034,0.007484139245502064,-0.03526545715850382,-0.042906075605863236,0,-0.035265457158521585,0.02395261092256158
0.4,0.056547103277942885,-0.04329354118435802,0.007551725159625988,-0.0355839237290958,-0.04329354118436157,0,-0.035583923729102906,-0.04329354118435802,0.007551725159625988,-0.0355839237290958,-0.04329354118436157,0,-0.035583923729102906,0.024168916238648256
0.42,0.05705318468133781,-0.04368100676282438,0.007619311073792545,-0.03590239029966824,-0.043681006762842145,0,-0.03590239029968245,-0.04368100676282438,0.007619311073792545,-0.03590239029966824,-0.043681006762842145,0,-0.03590239029968245,0.024385221554734934
0.44,0.057594387260391816,-0.04409536178220108,0.0076915873337704,-0.03624295790196719,-0.0440953617822224,0,-0.03624295790197429,-0.04409536178220108,0.0076915873337704,-0.03624295790196719,-0.0440953617822224,0,-0.03624295790197429,0.024616538087379895
0.46,0.058162880130183725,-0.044530610767861134,0.007767508144382873,-0.0366006987215588,-0.044530610767875345,0,-0.036600698721565905,-0.044530610767861134,0.007767508144382873,-0.0366006987215588,-0.044530610767875345,0,-0.036600698721565905,0.02485951882138249
0.48,0.05873137300000743,-0.0449658597535425,0.007843428955002452,-0.036958439541173504,-0.04496585975355316,0,-0.03695843954117706,-0.0449658597535425,0.007843428955002452,-0.036958439541173504,-0.04496585975355316,0,-0.03695843954117706,0.025102499555385085
0.5,0.059299865869827634,-0.04540110873923098,0.00791934976562203,-0.037316180360774,-0.04540110873922387,0,-0.037316180360781104,-0.04540110873923098,0.00791934976562203,-0.037316180360774,-0.04540110873922387,0,-0.037316180360781104,0.025345480289387684
0.52,0.05986835873962675,-0.04583635772489103,0.007995270576213187,-0.0376739211803816,-0.045836357724898136,0,-0.0376739211803887,-0.04583635772489103,0.007995270576213187,-0.0376739211803816,-0.045836357724898136,0,-0.0376739211803887,0.025588461023390283
