Time,normE,es.EX,es.EY,es.EZ,es.tEX,es.tEY,es.tEZ,es.Ex,es.Ey,es.Ez,es.tEx,es.tEy,es.tEz,V
0.0,37.45064755858529,-17.686352455762204,14.189928726890749,17.01024325111665,-17.68635245576222,0,17.010243251116606,-17.686352455762204,14.189928726890749,17.01024325111665,-17.68635245576222,0,17.010243251116606,0.01175372402404938
0.02,32.3464404662609,-15.275851970064323,12.255961250803843,14.691890651203789,-15.275851970064352,0,14.691890651203778,-15.275851970064323,12.255961250803843,14.691890651203789,-15.275851970064352,0,14.691890651203778,0.010151790658783404
0.04,32.64394863108751,-15.41635245673838,12.368686127703228,14.8270201259411,-15.416352456738373,0,14.827020125941118,-15.41635245673838,12.368686127703228,14.8270201259411,-15.416352456738373,0,14.827020125941118,0.010245162311985165
0.06,32.94361900304166,-15.557874002011204,12.482230237531283,14.963131759896896,-15.557874002011218,0,14.963131759896868,-15.557874002011204,12.482230237531283,14.963131759896896,-15.557874002011218,0,14.963131759896868,0.010339212578464638
0.08,33.249047635852236,-15.702114864197583,12.597956111617798,15.10185890204069,-15.702114864197561,0,15.101858902040675,-15.702114864197583,12.597956111617798,15.10185890204069,-15.702114864197561,0,15.101858902040675,0.010435070065408825
0.1,33.55601232838096,-15.847081124776949,12.714263987853009,15.24128375081336,-15.847081124776956,0,15.24128375081338,-15.847081124776949,12.714263987853009,15.24128375081336,-15.847081124776956,0,15.24128375081338,0.010531409642106651
0.12,33.86297702090963,-15.992047385356244,12.830571864088313,15.38070859958598,-15.992047385356244,0,15.380708599585944,-15.992047385356244,12.830571864088313,15.38070859958598,-15.992047385356244,0,15.380708599585944,0.01062774921880448
0.14,34.178933790096536,-16.141261139738887,12.950287118952637,15.524216535785754,-16.141261139738866,0,15.524216535785769,-16.141261139738887,12.950287118952637,15.524216535785754,-16.141261139738866,0,15.524216535785769,0.010726910707772756
0.16,34.50126712378252,-16.293486925627164,13.072418653217888,15.670619917756596,-16.293486925627143,0,15.670619917756596,-16.293486925627164,13.072418653217888,15.670619917756596,-16.293486925627143,0,15.670619917756596,0.010828073303525051
0.18,34.82360045746867,-16.445712711515455,13.194550187483124,15.817023299727481,-16.445712711515483,0,15.817023299727452,-16.445712711515455,13.194550187483124,15.817023299727481,-16.445712711515483,0,15.817023299727452,0.010929235899277344
0.2,35.145933791154974,-16.597938497403746,13.31668172174831,15.963426681698394,-16.59793849740376,0,15.963426681698422,-16.597938497403746,13.31668172174831,15.963426681698394,-16.59793849740376,0,15.963426681698422,0.011030398495029639
0.22,35.468267124841276,-16.75016428329195,13.438813256013525,16.109830063669165,-16.750164283291966,0,16.10983006366922,-16.75016428329195,13.438813256013525,16.109830063669165,-16.750164283291966,0,16.10983006366922,0.011131561090781929
