,Names,RMS,KURT,SKW,STD,POW,POW_Max,FFT,Sources
0,probe2_p_0.0013 1 neur,1.9628742955979774,-0.771250759051417,-0.16572652942003324,0.8425440762859172,2401.9394561855243,467.61861619347513,122.67087639622673,1
1,probe2_p_0.00135 1 neur,1.960301646934554,-0.7693442754190909,-0.16773829515183103,0.840820324380113,2396.6866736205834,460.85948713627346,122.45912060707117,1
2,probe2_p_0.0014 1 neur,1.976422836543583,-0.7728035352109308,-0.16380843401984957,0.8488225632285696,2434.3105651247224,464.664784017768,123.77722112812253,1
3,probe2-5_p_0.0013 1 neur,2.757204794704752,-0.7712542854532747,-0.16573790439908012,1.1834976495370124,2342.0213545287306,455.95362529763395,121.13117649260454,1
4,probe2-5_p_0.00135 1 neur,2.753597816959676,-0.7693443859380307,-0.16774026400806663,1.181084307645894,2336.900847365169,449.3631999136666,120.92208043050309,1
5,probe2-5_p_0.0014 1 neur,2.7762463360169543,-0.7727930964737504,-0.16379093701454325,1.1923285900776184,2373.5867168785126,453.0737708984546,122.22367533178233,1
6,probe2-5.1_p_0.0013 1 neur,4.385300829735109,-0.7712575612190005,-0.16574849398219302,1.882331547980227,2254.150511761636,438.84672539981244,118.83710680488421,1
7,probe2-5.1_p_0.00135 1 neur,4.37957333811371,-0.7693444352522913,-0.16774124965192944,1.8785045098590583,2249.2239148869194,432.50369865441473,118.63197305900074,1
8,probe2-5.1_p_0.0014 1 neur,4.415601172775539,-0.7727839771009171,-0.16377565046260092,1.8963940873348695,2284.534091718222,436.07533703166797,119.90897373931983,1
9,probe5_p_0.0013 1 neur,7.222984380675405,-0.771258674082195,-0.16575212535673528,3.100365119962624,2123.634007076912,413.43744686979005,115.3454858080267,1
10,probe5_p_0.00135 1 neur,7.213554442675689,-0.7693443806909928,-0.16774030437612883,3.094066952564957,2118.995227627891,407.4618649876038,115.14638137020097,1
11,probe5_p_0.0014 1 neur,7.27289729000486,-0.7727844646462763,-0.16377648298966077,3.1235334590807287,2152.261988170813,410.8271349647427,116.38595026520329,1
12,probe7-2_p_0.0013 1 neur,1.771222515830643,-0.771247103645297,-0.16571472789774652,0.7602826821887727,2432.9658742881106,473.6588859960008,123.46060372869655,1
13,probe7-2_p_0.00135 1 neur,1.7688969042895546,-0.7693441830639531,-0.1677366858062965,0.7587221114211866,2427.6443639046747,466.8123825178281,123.24748355942015,1
14,probe7-2_p_0.0014 1 neur,1.7834436733152688,-0.7728071210034462,-0.16381445461131444,0.7659424442531417,2465.754020304732,470.6667341315719,124.5740505521048,1
15,probe1_p_0.0013 1 neur,2.388449765751303,-0.7712509496784543,-0.16572713878111336,1.0252178481015657,2385.9549050688142,464.5066846273755,122.26201699165841,1
16,probe1_p_0.00135 1 neur,2.3853202302313146,-0.7693443210475852,-0.16773914282417132,1.023121070048684,2380.737187200243,457.79254524932065,122.05096743067573,1
17,probe1_p_0.0014 1 neur,2.4049391041527612,-0.7727961559720535,-0.16379604344377185,1.0328607653018376,2418.1108901835787,461.57257839801497,123.3646857019041,1
18,probe1.1_p_0.0013 1 neur,2.834598731583162,-0.771253609218792,-0.1657357177996503,1.2167190354859514,2326.5099345725193,452.9337943540714,120.72937681940896,1
19,probe1.1_p_0.00135 1 neur,2.830889270603479,-0.7693443390536965,-0.1677395007014077,1.2142363694208351,2321.42336901856,446.38701905824576,120.52097445457137,1
20,probe1.1_p_0.0014 1 neur,2.8541743868059903,-0.7727927829763086,-0.16379040430755842,1.225796824493508,2357.8664448253685,450.0730739943519,121.81826300030644,1
21,probe5-6_p_0.0013 1 neur,4.365213321602075,-0.7712576973623824,-0.16574894488935066,1.873708952180961,2251.4501060278994,438.32095481119075,118.76589385455344,1
22,probe5-6_p_0.00135 1 neur,4.359512414607796,-0.7693444119228139,-0.16774086650377923,1.8698998185983347,2246.529032050933,431.9854950091397,118.56088215905815,1
23,probe5-6_p_0.0014 1 neur,4.3953741743909935,-0.7727867211048998,-0.16378026258141784,1.887706034854113,2281.7970038446483,435.55288253238535,119.83712272576938,1
24,probe7-2.1_p_0.0013 1 neur,1.5028160833328519,-0.771242794383141,-0.16570084886382921,0.6450746314533431,2459.12604370584,478.7517880144243,124.12256448948055,1
25,probe7-2.1_p_0.00135 1 neur,1.5008384576352007,-0.769344051302681,-0.16773432933694601,0.6437452759201203,2453.7465975594187,471.831615016472,123.9083006951606,1
26,probe7-2.1_p_0.0014 1 neur,1.5131795767459193,-0.7728154120381481,-0.163828371289856,0.6498699975621036,2492.265833167382,475.7273290265401,125.24196479917504,1
27,probe8_p_0.0013 1 neur,2.022480433518839,-0.7712498675023558,-0.16572364047110621,0.8681303084545005,2425.0638809028233,472.12048468639495,123.2599452567378,1
28,probe8_p_0.00135 1 neur,2.0198286639910874,-0.769344242262652,-0.16773778611614884,0.8663528397519095,2419.7596060995247,465.2962149666826,123.04717171757345,1
29,probe8_p_0.0014 1 neur,2.03644028293236,-0.7728019868887528,-0.16380585167243908,0.8745987730396312,2457.7456143071686,469.1380847097309,124.3715891273116,1
30,probe8.1_p_0.0013 1 neur,2.4115960692101366,-0.7712523057100888,-0.1657315085672433,1.0351515461427403,2384.2987770836266,464.1842329250199,122.21957113041711,1
31,probe8.1_p_0.00135 1 neur,2.408438217383279,-0.7693443048235666,-0.1677388955424325,1.033036901650846,2379.084428413963,457.4747347107476,122.00859465951088,1
32,probe8.1_p_0.0014 1 neur,2.4282478394011644,-0.7727957861756347,-0.16379545173912466,1.0428713464030261,2416.4322708025315,461.25216402429004,123.32186019751028,1
33,probe5-6.1_p_0.0013 1 neur,2.887075647448943,-0.771255157491054,-0.1657407228694883,1.23924193133523,2340.2977240755436,455.61799775257117,121.0865805711943,1
34,probe5-6.1_p_0.00135 1 neur,2.8833003364960788,-0.7693443394482666,-0.16773957234770037,1.2367167453741998,2335.180432280673,449.0323803493118,120.8775610063198,1
35,probe5-6.1_p_0.0014 1 neur,2.907016978118063,-0.7727924472886629,-0.16378985277248,1.2484914803317368,2371.839445229119,452.74025356751577,122.17868218282926,1
36,probe7_p_0.0013 1 neur,1.2628146029997347,-0.7712397179119539,-0.16569097064303223,0.5420573748876395,2482.8238153307893,483.36530780364785,124.71918373301827,1
37,probe7_p_0.00135 1 neur,1.2611499268886706,-0.7693439142131724,-0.16773188508539907,0.5409370232516572,2477.3919036054403,476.3784007591373,124.50388920236693,1
38,probe7_p_0.0014 1 neur,1.2715184965477713,-0.77282707690562,-0.1638479708007823,0.5460817729326997,2516.2821646695647,480.3115848126612,125.8439501695016,1
39,probe6-7_p_0.0013 1 neur,1.3909473730144832,-0.7712455088944608,-0.1657095801503432,0.597053806954631,2459.8153853034137,478.88597162079606,124.13995606444729,1
40,probe6-7_p_0.00135 1 neur,1.3891197914803488,-0.7693441558259644,-0.16773630452122087,0.5958266174934105,2454.4342690253916,471.96384819538736,123.92566247695774,1
41,probe6-7_p_0.0014 1 neur,1.4005422469462219,-0.772813530385617,-0.16382523472329838,0.6014955103009787,2492.9643671446775,475.8606676548417,125.2595154896184,1
42,probe6-7.1_p_0.0013 1 neur,1.707184078225071,-0.7712494249802884,-0.16572220560467826,0.7327927503957407,2433.4320865105883,473.74960603454406,123.4724228040654,1
